table_name,object_type,table_description,column_name,ordinal_position,data_type,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
attendee,TABLE,"Records the people who attended the review, their role and contribution",attendee_id,1,uuid,f,,Public primary key,NONE,Y,
attendee,TABLE,"Records the people who attended the review, their role and contribution",review_id,2,uuid,f,,Parent review foreign key,NONE,N,review
attendee,TABLE,"Records the people who attended the review, their role and contribution",name,3,character varying(100),t,,Name of review attendee/contributor. Free text so not guaranteed to match any user information. Maps to OFFENDER_CSIP_ATTENDEES.ATTENDEE_NAME which has a 100 character limit,STAFF,N,
attendee,TABLE,"Records the people who attended the review, their role and contribution",role,4,character varying(50),t,,Role of review attendee/contributor. Maps to OFFENDER_CSIP_ATTENDEES.ATTENDEE_ROLE which has a 50 character limit,STAFF,N,
attendee,TABLE,"Records the people who attended the review, their role and contribution",attended,5,boolean,t,,Whether the person attended the review. Indicates that they were a contributor if false. Maps to OFFENDER_CSIP_ATTENDEES.ATTENDED where the default is 'N',NONE,N,
attendee,TABLE,"Records the people who attended the review, their role and contribution",contribution,6,text,t,,Description of attendee contribution. Maps to OFFENDER_CSIP_ATTENDEES.CONTRIBUTION which has a 4000 character limit,SPECIAL-CATEGORY,N,
attendee,TABLE,"Records the people who attended the review, their role and contribution",version,7,integer,f,,Supports optimistic locking preventing unnecessary select queries for new entities,NONE,N,
attendee,TABLE,"Records the people who attended the review, their role and contribution",legacy_id,14,bigint,t,,The NOMIS OFFENDER_CSIP_ATTENDEES.ATTENDEE_ID primary key value. Stored to guarantee uniqueness via sync. Not returned by API,NONE,N,
attendee_audit,TABLE,Attendee property changes,rev_id,1,bigint,f,,Foreign key to audit_revision. Identifies the revision this row belongs to.,NONE,Y,audit_revision
attendee_audit,TABLE,Attendee property changes,rev_type,2,smallint,f,,"Type of change; 0 -> entity was created, 1 -> entity was updated, 2 -> entity was deleted",NONE,N,
attendee_audit,TABLE,Attendee property changes,attendee_id,3,uuid,f,,Audit history of attendee.attendee_id. Holds the value as at this revision.,NONE,Y,
attendee_audit,TABLE,Attendee property changes,review_id,4,uuid,f,,Audit history of attendee.review_id. Holds the value as at this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,name,5,character varying(100),t,,Audit history of attendee.name. Holds the value as at this revision.,STAFF,N,
attendee_audit,TABLE,Attendee property changes,role,6,character varying(50),t,,Audit history of attendee.role. Holds the value as at this revision.,STAFF,N,
attendee_audit,TABLE,Attendee property changes,attended,7,boolean,t,,Audit history of attendee.attended. Holds the value as at this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,contribution,8,text,t,,Audit history of attendee.contribution. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
attendee_audit,TABLE,Attendee property changes,name_modified,15,boolean,t,,Whether name was changed in this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,role_modified,16,boolean,t,,Whether role was changed in this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,attended_modified,17,boolean,t,,Whether attended was changed in this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,contribution_modified,18,boolean,t,,Whether contribution was changed in this revision.,NONE,N,
attendee_audit,TABLE,Attendee property changes,legacy_id,19,bigint,t,,Audit history of attendee.legacy_id. Holds the value as at this revision.,NONE,N,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,id,1,bigint,f,nextval('audit_revision_id_seq'::regclass),Internal primary key,NONE,Y,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,timestamp,2,timestamp without time zone,f,,The date and time the change happened,NONE,N,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,username,3,character varying(64),f,,The username of the user who made the change,STAFF,N,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,caseload_id,5,character varying(10),t,,The active caseload of the user at the time of the change,STAFF,N,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,source,6,character varying(6),t,,The system used to make the change. Either DPS or NOMIS,NONE,N,
audit_revision,TABLE,Hibernate Envers audit revision records. A revision is created for every set of changes to the CSIP entity graph and the history of every mutable property change is tracked. Full audit history starts from the 15th of November 2024,affected_components,7,character varying[],t,,The table or tables that had values affected by the change,NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",id,1,uuid,f,,Primary key. Surrogate UUID with no business meaning.,NONE,Y,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",request_id,2,uuid,t,,Identifier of the analysis request that produced this annotation. Groups every annotation generated by one run.,NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",prisoner_number,3,character varying(10),f,,NOMIS offender number (noms id) of the person whose case notes were analysed.,PERSONAL,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",case_note_id,4,uuid,t,,Identifier of the source case note in the case notes service. This table holds a copy of text mastered there.,NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",prompt_key,5,character varying(255),t,,Key of the prompt used to generate the annotation. Provenance only.,NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",prompt_version,6,integer,t,,"Version of the prompt used to generate the annotation, so annotations from a superseded prompt can be identified.",NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",behaviour_type,7,character varying(30),t,,"What the model inferred the annotated text evidences about the person. One of RISKS_AND_TRIGGERS, USUAL_BEHAVIOUR_PRESENTATION, PROTECTIVE_FACTORS. This is a machine generated hypothesis offered to a caseworker, not a professional assessment or a recorded observation.",SPECIAL-CATEGORY,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",confidence_level,8,character varying(10),t,,"The model's confidence in its classification of the source case note. One of LOW, MEDIUM, HIGH. Recorded per case note, so every annotation from the same case note repeats the value.",NONE,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",annotated_text,9,text,t,,"Verbatim extract copied from the source case note - the passage the model cites as evidence for behaviour_type. Case notes are read including those marked sensitive, so this can contain anything case note prose contains: third party names, health and mental health detail, self harm and safeguarding content. It is a duplicate of text mastered in the case notes service and is not updated or removed if the source case note changes.",SPECIAL-CATEGORY,N,
case_note_annotations,TABLE,"Machine generated annotations over a person's prison case notes, used to suggest content for the CSIP investigation screen (CSIP Assist). Each row is one extract that a language model cited as evidence for a behaviour classification. Rows are derived data copied from the case notes service, not a record created by staff, and there is no retention or purge mechanism here.",created_date,10,timestamp without time zone,t,,When the annotation was generated. This is not the date of the source case note.,NONE,N,
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,contributory_factor_id,1,uuid,f,,Public primary key,NONE,Y,
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,referral_id,2,uuid,f,,Parent referral foreign key which is the shared primary key with csip_record and therefore uses the same value as csip_record.record_id,NONE,N,referral
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,contributory_factor_type_id,3,bigint,f,,Foreign key to reference data using the 'CONTRIBUTORY_FACTOR_TYPE' domain for the type of contributory factor believed to have caused the incident or behaviour. The reference_data.code value maps to OFFENDER_CSIP_FACTORS.CSIP_FACTOR,SPECIAL-CATEGORY,N,reference_data
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,comment,4,text,t,,Additional information about the contributory factor. Maps to OFFENDER_CSIP_FACTORS.COMMENTS which has a 4000 character limit,SPECIAL-CATEGORY,N,
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,version,5,integer,f,,Supports optimistic locking preventing unnecessary select queries for new entities,NONE,N,
contributory_factor,TABLE,The contributory factors the referrer has identified as part of the referral,legacy_id,12,bigint,t,,The NOMIS OFFENDER_CSIP_FACTORS.CSIP_FACTOR_ID primary key value. Stored to guarantee uniqueness via sync. Not returned by API,NONE,N,
contributory_factor_audit,TABLE,Contributory factor property changes,rev_id,1,bigint,f,,Foreign key to audit_revision. Identifies the revision this row belongs to.,NONE,Y,audit_revision
contributory_factor_audit,TABLE,Contributory factor property changes,rev_type,2,smallint,f,,"Type of change; 0 -> entity was created, 1 -> entity was updated, 2 -> entity was deleted",NONE,N,
contributory_factor_audit,TABLE,Contributory factor property changes,contributory_factor_id,3,uuid,f,,Audit history of contributory_factor.contributory_factor_id. Holds the value as at this revision.,NONE,Y,
contributory_factor_audit,TABLE,Contributory factor property changes,referral_id,4,uuid,f,,Audit history of contributory_factor.referral_id. Holds the value as at this revision.,NONE,N,
contributory_factor_audit,TABLE,Contributory factor property changes,contributory_factor_type_id,5,bigint,t,,Audit history of contributory_factor.contributory_factor_type_id. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
contributory_factor_audit,TABLE,Contributory factor property changes,comment,6,text,t,,Audit history of contributory_factor.comment. Holds the value as at this revision.,SPECIAL-CATEGORY,N,
contributory_factor_audit,TABLE,Contributory factor property changes,contributory_factor_type_modified,13,boolean,t,,Whether contributory factor type was changed in this revision.,NONE,N,
contributory_factor_audit,TABLE,Contributory factor property changes,comment_modified,14,boolean,t,,Whether comment was changed in this revision.,NONE,N,
contributory_factor_audit,TABLE,Contributory factor property changes,legacy_id,15,bigint,t,,Audit history of contributory_factor.legacy_id. Holds the value as at this revision.,NONE,N,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,record_id,1,uuid,f,,Public primary key for the CSIP and the shared primary key for 1:1 child entities,NONE,Y,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,prison_number,2,character varying(10),f,,The prison number of the person the CSIP record is for,PERSONAL,N,person_summary
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,prison_code_when_recorded,3,character varying(6),t,,The prison code where the person was resident at the time the CSIP record was created. Maps to OFFENDER_CSIP_REPORTS.AGY_LOC_ID,PERSONAL,N,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,log_code,4,character varying(10),t,,User entered identifier for the CSIP record. Usually starts with the prison code. Maps to OFFENDER_CSIP_REPORTS.CSIP_SEQ,NONE,N,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,version,6,integer,f,,Supports optimistic locking preventing unnecessary select queries for new entities,NONE,N,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,legacy_id,13,bigint,t,,The NOMIS OFFENDER_CSIP_REPORTS.CSIP_ID primary key value. Stored to guarantee uniqueness via sync. Not returned by API,NONE,N,
csip_record,TABLE,Root CSIP entity associating a person with a CSIP and all the child entities. Conceptually a CSIP folder. All 1:1 child entities use the record_id value for their primary key,status_id,14,bigint,f,,Foreign key to reference data using the 'STATUS' domain for the overall CSIP status. Status is calculated in NOMIS and not stored in the database,SPECIAL-CATEGORY,N,reference_data
csip_record_audit,TABLE,CSIP record property changes,rev_id,1,bigint,f,,Foreign key to audit_revision. Identifies the revision this row belongs to.,NONE,Y,audit_revision
csip_record_audit,TABLE,CSIP record property changes,rev_type,2,smallint,f,,"Type of change; 0 -> entity was created, 1 -> entity was updated, 2 -> entity was deleted",NONE,N,
csip_record_audit,TABLE,CSIP record property changes,record_id,3,uuid,f,,Audit history of csip_record.record_id. Holds the value as at this revision.,NONE,Y,
csip_record_audit,TABLE,CSIP record property changes,prison_number,4,character varying(10),f,,Audit history of csip_record.prison_number. Holds the value as at this revision.,PERSONAL,N,
csip_record_audit,TABLE,CSIP record property changes,prison_code_when_recorded,5,character varying(6),t,,Audit history of csip_record.prison_code_when_recorded. Holds the value as at this revision.,PERSONAL,N,
csip_record_audit,TABLE,CSIP record property changes,log_code,6,character varying(10),t,,Audit history of csip_record.log_code. Holds the value as at this revision.,NONE,N,
csip_record_audit,TABLE,CSIP record property changes,log_code_modified,13,boolean,t,,Whether log code was changed in this revision.,NONE,N,
csip_record_audit,TABLE,CSIP record property changes,legacy_id,14,bigint,t,,Audit history of csip_record.legacy_id. Holds the value as at this revision.,NONE,N,
csip_record_audit,TABLE,CSIP record property changes,prison_number_modified,15,boolean,t,false,Whether prison number was changed in this revision.,NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",prison_number,1,character varying(10),t,,The prison number of the person the CSIP is for. Sourced from person_summary.prison_number.,PERSONAL,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",first_name,2,character varying(64),t,,The first name of the person. Sourced from person_summary.first_name.,PERSONAL,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",last_name,3,character varying(64),t,,The last name of the person. Sourced from person_summary.last_name.,PERSONAL,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",restricted_patient,4,boolean,t,,"Whether the person is a restricted patient, i.e. detained under the Mental Health Act. Sourced from person_summary.restricted_patient.",SPECIAL-CATEGORY,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",prison_code,5,character varying(16),t,,"The code of the prison the person is resident at, or TRN/OUT if they are not in prison. Sourced from person_summary.prison_code.",PERSONAL,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",cell_location,6,character varying(64),t,,"The cell location of the person, or an alternative location reference. Sourced from person_summary.cell_location.",PERSONAL,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",supporting_prison_code,7,character varying(16),t,,The code of the prison supporting the person where they are a restricted patient. Sourced from person_summary.supporting_prison_code.,SPECIAL-CATEGORY,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",referral_date,8,date,t,,The date the referral was submitted. Sourced from referral.referral_date.,NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",incident_type,9,character varying(40),t,,Description of the type of incident or behaviour that motivated the referral. Sourced from referral.incident_type_id.,SPECIAL-CATEGORY,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",next_review_date,10,date,t,,The next date the plan should be reviewed. Sourced from plan.next_review_date.,NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",case_manager,11,character varying(100),t,,"The case manager assigned to the plan. Free text, so not guaranteed to match user information. Sourced from plan.case_manager.",STAFF,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",id,12,uuid,t,,"The CSIP record identifier, exposed as id for the search API. Sourced from csip_record.record_id.",NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",log_code,13,character varying(10),t,,User entered identifier for the CSIP record. Sourced from csip_record.log_code.,NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",closed_date,14,date,t,,The date the plan was closed. Null unless the status is CSIP_CLOSED. Sourced from plan.closed_date.,NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",priority,15,integer,t,,"Sort weight derived from the status code, used to order search results. Carries no meaning outside the query.",NONE,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",status_code,16,character varying(32),t,,The short code of the overall CSIP status. Sourced from csip_record.status_id.,SPECIAL-CATEGORY,N,
csip_summary,VIEW,"Denormalised view over csip_record, person_summary, referral and plan used to search and paginate CSIPs. Read only - every column is sourced from the tables it joins.",status_description,17,character varying(40),t,,The description of the overall CSIP status. Sourced from csip_record.status_id.,SPECIAL-CATEGORY,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,decision_and_actions_id,1,uuid,f,,Shared primary key with csip_record. Uses the same value as csip_record.record_id,NONE,Y,referral
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,conclusion,2,text,t,,The conclusion and reasons for the decision. Maps to OFFENDER_CSIP_REPORTS.INV_CONCLUSION which has a 4000 character limit,SPECIAL-CATEGORY,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,outcome_id,3,integer,t,,Foreign key to reference data using the 'DECISION_OUTCOME_TYPE' domain for the selected decision. The reference_data.code value maps to OFFENDER_CSIP_REPORTS.INV_OUTCOME,SPECIAL-CATEGORY,N,reference_data
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,signed_off_by_role_id,4,integer,t,,Foreign key to reference data using the 'DECISION_SIGNER_ROLE' domain for the role of the person who signed off the decision. The reference_data.code value maps to OFFENDER_CSIP_REPORTS.INV_SIGNED_OFF_BY,NONE,N,reference_data
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,recorded_by,5,character varying(100),t,,The username of the user who recorded the decision. Maps to OFFENDER_CSIP_REPORTS.INV_OUTCOME_RECORDED_BY,STAFF,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,recorded_by_display_name,6,character varying(255),t,,The first and last name of the user who recorded the decision. Does not update if their name changes,STAFF,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,date,7,date,t,,The date the decision was made. Maps to OFFENDER_CSIP_REPORTS.INV_OUTCOME_DATE,NONE,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,next_steps,8,text,t,,The next steps that should be taken following the decision. Maps to OFFENDER_CSIP_REPORTS.INV_NEXT_STEPS which has a 4000 character limit,SPECIAL-CATEGORY,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,actions,9,character varying[],f,,"An enumeration of actions that have been recommended. CSIP to NOMIS mappings: 'OPEN_CSIP_ALERT' -> OFFENDER_CSIP_REPORTS.OPEN_CSIP_ALERT, 'NON_ASSOCIATIONS_UPDATED' -> OFFENDER_CSIP_REPORTS.INV_NON_ASSOC_BOOKED, 'OBSERVATION_BOOK' -> OFFENDER_CSIP_REPORTS.INV_OBSERVATION_BOOK, 'UNIT_OR_CELL_MOVE' -> OFFENDER_CSIP_REPORTS.INV_MOVE, 'CSRA_OR_RSRA_REVIEW' -> OFFENDER_CSIP_REPORTS.INV_REVIEW, 'SERVICE_REFERRAL' -> OFFENDER_CSIP_REPORTS.INV_SERVICE_REFERRAL, 'SIM_REFERRAL' -> OFFENDER_CSIP_REPORTS.INV_SIM_REFERRAL. Only populated via NOMIS and retained for sync and reporting",SPECIAL-CATEGORY,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,action_other,10,text,t,,Any other actions that are recommended to be considered. Maps to OFFENDER_CSIP_REPORTS.INV_OTHER which has a 4000 character limit,SPECIAL-CATEGORY,N,
decision_and_actions,TABLE,Record of the decision and any actions expected as a result. Recording a decision is an optional step 4 of the CSIP process following an investigation,version,11,integer,f,,Supports optimistic locking preventing unnecessary select queries for new entities,NONE,N,
decision_and_actions_audit,TABLE,Decision and actions property changes,rev_id,1,bigint,f,,Foreign key to audit_revision. Identifies the revision this row belongs to.,NONE,Y,audit_revision
