column_ref,code,description,notes
"reference_data.domain","AREA_OF_WORK","Reference data domain. Exposed by the API as 'area-of-work'.","the domain half of the (domain, code) key"
"reference_data.domain","CONTRIBUTORY_FACTOR_TYPE","Reference data domain. Exposed by the API as 'contributory-factor-type'.","the domain half of the (domain, code) key"
"reference_data.domain","DECISION_OUTCOME_TYPE","Reference data domain. Exposed by the API as 'decision-outcome-type'.","the domain half of the (domain, code) key"
"reference_data.domain","DECISION_SIGNER_ROLE","Reference data domain. Exposed by the API as 'role'.","the domain half of the (domain, code) key"
"reference_data.domain","INCIDENT_INVOLVEMENT","Reference data domain. Exposed by the API as 'incident-involvement'.","the domain half of the (domain, code) key"
"reference_data.domain","INCIDENT_LOCATION","Reference data domain. Exposed by the API as 'incident-location'.","the domain half of the (domain, code) key"
"reference_data.domain","INCIDENT_TYPE","Reference data domain. Exposed by the API as 'incident-type'.","the domain half of the (domain, code) key"
"reference_data.domain","INTERVIEWEE_ROLE","Reference data domain. Exposed by the API as 'interviewee-role'.","the domain half of the (domain, code) key"
"reference_data.domain","SCREENING_OUTCOME_TYPE","Reference data domain. Exposed by the API as 'screening-outcome-type'.","the domain half of the (domain, code) key"
"reference_data.domain","STATUS","Reference data domain. Exposed by the API as 'status'.","the domain half of the (domain, code) key"
"decision_and_actions.actions","OPEN_CSIP_ALERT","A CSIP alert should be opened against the person.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","NON_ASSOCIATIONS_UPDATED","The person's non-associations were updated as a result.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","OBSERVATION_BOOK","The person should be recorded in the observation book.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","UNIT_OR_CELL_MOVE","The person should be moved to a different unit or cell.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","CSRA_OR_RSRA_REVIEW","A cell sharing or room sharing risk assessment should be reviewed.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","SERVICE_REFERRAL","The person should be referred to another service.","populated via NOMIS only, retained for sync and reporting"
"decision_and_actions.actions","SIM_REFERRAL","The person should be referred to the Safety Intervention Meeting.","populated via NOMIS only, retained for sync and reporting"
"review.actions","RESPONSIBLE_PEOPLE_INFORMED","The people responsible for the person's care were informed.","populated via NOMIS only, retained for sync and reporting"
"review.actions","CSIP_UPDATED","The CSIP was updated following the review.","populated via NOMIS only, retained for sync and reporting"
"review.actions","REMAIN_ON_CSIP","The person should remain on a CSIP.","populated via NOMIS only, retained for sync and reporting"
"review.actions","CASE_NOTE","A case note was recorded following the review.","populated via NOMIS only, retained for sync and reporting"
"review.actions","CLOSE_CSIP","The CSIP should be closed. Sets plan.closed_date.","the only value set by DPS"
"referral.safer_custody_team_informed","YES","Yes.",""
"referral.safer_custody_team_informed","NO","No.",""
"referral.safer_custody_team_informed","DO_NOT_KNOW","Not known. Distinguishes an unanswered question from an answer of no.",""
"audit_revision.source","DPS","The change was made in DPS.",""
"audit_revision.source","NOMIS","The change was made in NOMIS and synchronised into this service.",""
"audit_revision.affected_components","RECORD","The record was affected by the change.",""
"audit_revision.affected_components","REFERRAL","The referral was affected by the change.",""
"audit_revision.affected_components","CONTRIBUTORY_FACTOR","The contributory factor was affected by the change.",""
"audit_revision.affected_components","SAFER_CUSTODY_SCREENING_OUTCOME","The safer custody screening outcome was affected by the change.",""
"audit_revision.affected_components","INVESTIGATION","The investigation was affected by the change.",""
"audit_revision.affected_components","INTERVIEW","The interview was affected by the change.",""
"audit_revision.affected_components","DECISION_AND_ACTIONS","The decision and actions was affected by the change.",""
"audit_revision.affected_components","PLAN","The plan was affected by the change.",""
"audit_revision.affected_components","IDENTIFIED_NEED","The identified need was affected by the change.",""
"audit_revision.affected_components","REVIEW","The review was affected by the change.",""
"audit_revision.affected_components","ATTENDEE","The attendee was affected by the change.",""
"case_note_annotations.behaviour_type","RISKS_AND_TRIGGERS","The extract was inferred to evidence risks and triggers for the person.","machine generated, not recorded by staff"
"case_note_annotations.behaviour_type","USUAL_BEHAVIOUR_PRESENTATION","The extract was inferred to evidence the person's usual behaviour and presentation.","machine generated, not recorded by staff"
"case_note_annotations.behaviour_type","PROTECTIVE_FACTORS","The extract was inferred to evidence protective factors for the person.","machine generated, not recorded by staff"
"case_note_annotations.confidence_level","LOW","Low confidence in the classification of the source case note.","machine generated, not recorded by staff"
"case_note_annotations.confidence_level","MEDIUM","Medium confidence in the classification of the source case note.","machine generated, not recorded by staff"
"case_note_annotations.confidence_level","HIGH","High confidence in the classification of the source case note.","machine generated, not recorded by staff"
"reference_data.area_of_work","ACT","Activities",""
"reference_data.area_of_work","CEN","Censors",""
"reference_data.area_of_work","CHA","Chaplaincy",""
"reference_data.area_of_work","CON","Control room",""
"reference_data.area_of_work","EDU","Education",""
"reference_data.area_of_work","EST","Estates",""
"reference_data.area_of_work","FIN","Finance",""
"reference_data.area_of_work","GAR","Gardens or grounds",""
"reference_data.area_of_work","GRO","Grounds",""
"reference_data.area_of_work","GYM","Gymnasium",""
"reference_data.area_of_work","H","Health",""
"reference_data.area_of_work","HEA","Health care",""
"reference_data.area_of_work","IMB","IMB",""
"reference_data.area_of_work","AOW_INACT","Inactive area of work","deactivated - retained for historic records"
"reference_data.area_of_work","KIT","Kitchen",""
"reference_data.area_of_work","LIB","Library",""
"reference_data.area_of_work","MEN","Mental health",""
"reference_data.area_of_work","OFF","Offender management",""
"reference_data.area_of_work","OPE","Operations",""
"reference_data.area_of_work","OTH","Other",""
"reference_data.area_of_work","PEO","People HUB",""
"reference_data.area_of_work","PRO","Probation",""
"reference_data.area_of_work","PRG","Programmes",""
"reference_data.area_of_work","PSY","Psychology",""
"reference_data.area_of_work","REC","Reception",""
"reference_data.area_of_work","RES","Resettlement",""
"reference_data.area_of_work","RSD","Residential",""
"reference_data.area_of_work","SAF","Safety Team",""
"reference_data.area_of_work","SEC","Security",""
"reference_data.area_of_work","STO","Stores",""
"reference_data.area_of_work","SUB","Substance Misuse Team",""
"reference_data.area_of_work","VIS","Visits",""
"reference_data.area_of_work","WOR","Workshop",""
"reference_data.contributory_factor_type","AFL","Alcohol or fermenting liquid",""
"reference_data.contributory_factor_type","BAS","Basic needs (property or cell)",""
"reference_data.contributory_factor_type","BUL","Bullying",""
